complaint_id,description,category,priority,date_submitted,resolution_days,status
C0158,Stray dogs aggressive near Oak Ave,Other,High,2026-04-16 09:29:11,25,Resolved
C0159,Stray dogs aggressive near Elm St,Other,Low,2026-04-17 09:29:11,,In Progress
C0160,Huge pothole on Washington Blvd causing traffic,Road,Medium,2026-05-07 09:29:11,18,Resolved
C0161,Dirty brown water coming from taps at Oak Ave,Water,Critical,2026-05-09 09:29:11,2,Resolved
C0162,Foul smell from uncollected trash at Maple Dr,Waste,Medium,2026-05-19 09:29:11,6,Resolved
C0163,Loud noise complaint from construction on Park Ave,Other,Low,2026-03-15 09:29:11,28,Resolved
C0164,Road surface completely destroyed near Cedar Ln,Road,Medium,2026-06-25 09:29:11,17,Resolved
C0165,Sparking power lines near Pine St,Electricity,High,2026-04-12 09:29:11,,In Progress
C0166,Sparking power lines near Park Ave,Electricity,Low,2026-07-28 09:29:11,,In Progress
C0167,"Pipe burst near Washington Blvd, water flooding the sidewalk",Water,Medium,2026-05-17 09:29:11,9,Resolved
C0168,Garbage bins overflowing for days on Maple Dr,Waste,Low,2026-05-21 09:29:11,5,Resolved
C0169,No water supply in the building on Elm St,Water,High,2026-04-01 09:29:11,27,Resolved
C0170,Traffic light broken at Cedar Ln intersection,Road,Medium,2026-04-29 09:29:11,21,Resolved
C0171,Sparking power lines near Oak Ave,Electricity,Critical,2026-05-08 09:29:11,,Assigned
C0172,Road surface completely destroyed near Cedar Ln,Road,Critical,2026-05-16 09:29:11,1,Resolved
C0173,Road surface completely destroyed near Pine St,Road,High,2026-03-08 09:29:11,27,Resolved
C0174,Traffic light broken at Pine St intersection,Road,Low,2026-07-02 09:29:11,4,Resolved
C0175,Loud noise complaint from construction on Washington Blvd,Other,Medium,2026-02-10 09:29:11,23,Resolved
C0176,Illegal dumping of construction waste near Maple Dr,Waste,Medium,2026-03-05 09:29:11,30,Resolved
C0177,Dirty brown water coming from taps at Elm St,Water,High,2026-02-14 09:29:11,17,Resolved
C0178,"Pipe burst near Elm St, water flooding the sidewalk",Water,Medium,2026-05-24 09:29:11,22,Resolved
C0179,Traffic light broken at Park Ave intersection,Road,High,2026-03-19 09:29:11,20,Resolved
C0180,Traffic light broken at Main St intersection,Road,Low,2026-02-15 09:29:11,,Open
C0181,Street lights not working on Park Ave,Electricity,High,2026-02-11 09:29:11,30,Resolved
C0182,Illegal dumping of construction waste near Park Ave,Waste,High,2026-02-19 09:29:11,13,Resolved
C0183,Foul smell from uncollected trash at Washington Blvd,Waste,Medium,2026-04-06 09:29:11,27,Resolved
C0184,Dirty brown water coming from taps at Pine St,Water,Medium,2026-03-03 09:29:11,15,Resolved
C0185,Dirty brown water coming from taps at Maple Dr,Water,Critical,2026-02-26 09:29:11,,Open
C0186,Foul smell from uncollected trash at Park Ave,Waste,Low,2026-02-11 09:29:11,8,Resolved
C0187,Complete blackout in the neighborhood around Main St,Electricity,Low,2026-08-01 09:29:11,,Open
C0188,Garbage bins overflowing for days on Washington Blvd,Waste,Medium,2026-04-05 09:29:11,7,Resolved
C0189,"Pipe burst near Washington Blvd, water flooding the sidewalk",Water,Medium,2026-05-28 09:29:11,,Open
C0190,Dirty brown water coming from taps at Main St,Water,Medium,2026-07-27 09:29:11,23,Resolved
C0191,Dirty brown water coming from taps at Pine St,Water,High,2026-06-27 09:29:11,11,Resolved
C0192,Traffic light broken at Maple Dr intersection,Road,Medium,2026-04-07 09:29:11,17,Resolved
C0193,No water supply in the building on Park Ave,Water,High,2026-06-08 09:29:11,12,Resolved
C0194,Blocked storm drain causing flooding at Cedar Ln,Drainage,Low,2026-03-06 09:29:11,,In Progress
C0195,"Pipe burst near Pine St, water flooding the sidewalk",Water,Critical,2026-02-16 09:29:11,,In Progress
C0196,Foul smell from uncollected trash at Main St,Waste,Low,2026-05-06 09:29:11,23,Resolved
C0197,Illegal dumping of construction waste near Pine St,Waste,Medium,2026-03-30 09:29:11,,In Progress
C0198,"Pipe burst near Maple Dr, water flooding the sidewalk",Water,High,2026-03-24 09:29:11,,Assigned
C0199,Illegal dumping of construction waste near Cedar Ln,Waste,Medium,2026-06-19 09:29:11,21,Resolved
C0200,Garbage bins overflowing for days on Park Ave,Waste,Medium,2026-04-18 09:29:11,13,Resolved
C0201,Dirty brown water coming from taps at Maple Dr,Water,High,2026-05-13 09:29:11,28,Resolved
C0202,Illegal dumping of construction waste near Oak Ave,Waste,Medium,2026-06-04 09:29:11,,In Progress
C0203,Road surface completely destroyed near Elm St,Road,Medium,2026-07-21 09:29:11,,In Progress
C0204,Road surface completely destroyed near Oak Ave,Road,Medium,2026-05-05 09:29:11,,In Progress
C0205,"Pipe burst near Maple Dr, water flooding the sidewalk",Water,High,2026-03-23 09:29:11,22,Resolved
C0206,Huge pothole on Pine St causing traffic,Road,Low,2026-05-20 09:29:11,,Open
C0207,Blocked storm drain causing flooding at Cedar Ln,Drainage,Medium,2026-07-06 09:29:11,24,Resolved
C0208,Sparking power lines near Main St,Electricity,High,2026-06-29 09:29:11,5,Resolved
C0209,Street lights not working on Washington Blvd,Electricity,High,2026-06-26 09:29:11,4,Resolved
C0210,Garbage bins overflowing for days on Main St,Waste,Medium,2026-06-30 09:29:11,7,Resolved
C0211,Complete blackout in the neighborhood around Park Ave,Electricity,Critical,2026-02-25 09:29:11,1,Resolved
C0212,Road surface completely destroyed near Pine St,Road,Medium,2026-05-10 09:29:11,25,Resolved
C0213,Stray dogs aggressive near Main St,Other,High,2026-03-21 09:29:11,28,Resolved
C0214,Blocked storm drain causing flooding at Washington Blvd,Drainage,High,2026-04-05 09:29:11,13,Resolved
C0215,Street lights not working on Pine St,Electricity,High,2026-03-16 09:29:11,,In Progress
C0216,Road surface completely destroyed near Elm St,Road,Medium,2026-02-12 09:29:11,28,Resolved
C0217,No water supply in the building on Elm St,Water,Low,2026-06-14 09:29:11,4,Resolved
C0218,Street lights not working on Park Ave,Electricity,Critical,2026-07-12 09:29:11,,In Progress
C0219,Sewage backing up into street on Main St,Drainage,Critical,2026-07-13 09:29:11,5,Resolved
C0220,Huge pothole on Main St causing traffic,Road,Low,2026-05-19 09:29:11,,Open
C0221,Traffic light broken at Oak Ave intersection,Road,Medium,2026-05-22 09:29:11,12,Resolved
C0222,Dirty brown water coming from taps at Cedar Ln,Water,Critical,2026-04-10 09:29:11,,In Progress
C0223,Road surface completely destroyed near Park Ave,Road,Critical,2026-04-20 09:29:11,,Assigned
C0224,No water supply in the building on Main St,Water,High,2026-07-29 09:29:11,,In Progress
C0225,Terrible smell from open drain near Elm St,Drainage,Low,2026-07-18 09:29:11,29,Resolved
C0226,No water supply in the building on Oak Ave,Water,Medium,2026-04-05 09:29:11,8,Resolved
C0227,Garbage bins overflowing for days on Pine St,Waste,High,2026-02-11 09:29:11,,Open
C0228,Garbage bins overflowing for days on Pine St,Waste,Medium,2026-03-22 09:29:11,,Open
C0229,Complete blackout in the neighborhood around Elm St,Electricity,High,2026-07-08 09:29:11,,In Progress
C0230,Huge pothole on Oak Ave causing traffic,Road,Low,2026-03-28 09:29:11,,In Progress
C0231,Foul smell from uncollected trash at Washington Blvd,Waste,Low,2026-07-14 09:29:11,10,Resolved
C0232,Terrible smell from open drain near Washington Blvd,Drainage,Critical,2026-02-23 09:29:11,1,Resolved
C0233,Sewage backing up into street on Park Ave,Drainage,Low,2026-07-25 09:29:11,19,Resolved
C0234,"Pipe burst near Pine St, water flooding the sidewalk",Water,High,2026-03-24 09:29:11,7,Resolved
C0235,Sparking power lines near Maple Dr,Electricity,High,2026-06-06 09:29:11,8,Resolved
C0236,Loud noise complaint from construction on Oak Ave,Other,Low,2026-03-06 09:29:11,5,Resolved
C0237,"Pipe burst near Pine St, water flooding the sidewalk",Water,Medium,2026-08-08 09:29:11,6,Resolved
C0238,No water supply in the building on Oak Ave,Water,Critical,2026-06-27 09:29:11,,Open
C0239,No water supply in the building on Elm St,Water,Critical,2026-04-18 09:29:11,4,Resolved
C0240,Traffic light broken at Pine St intersection,Road,Medium,2026-03-17 09:29:11,25,Resolved
C0241,Sparking power lines near Oak Ave,Electricity,Medium,2026-06-09 09:29:11,28,Resolved
C0242,Dirty brown water coming from taps at Maple Dr,Water,High,2026-06-01 09:29:11,,Assigned
C0243,Huge pothole on Main St causing traffic,Road,Medium,2026-04-07 09:29:11,7,Resolved
C0244,Sewage backing up into street on Main St,Drainage,High,2026-04-26 09:29:11,7,Resolved
C0245,Huge pothole on Maple Dr causing traffic,Road,Medium,2026-07-15 09:29:11,16,Resolved
C0246,Traffic light broken at Park Ave intersection,Road,Low,2026-06-25 09:29:11,3,Resolved
C0247,Foul smell from uncollected trash at Pine St,Waste,Medium,2026-06-28 09:29:11,19,Resolved
C0248,Huge pothole on Elm St causing traffic,Road,Medium,2026-02-15 09:29:11,28,Resolved
C0249,Sparking power lines near Maple Dr,Electricity,Medium,2026-03-20 09:29:11,15,Resolved
C0250,Terrible smell from open drain near Oak Ave,Drainage,Low,2026-07-22 09:29:11,,In Progress
C0251,Road surface completely destroyed near Oak Ave,Road,Low,2026-05-27 09:29:11,21,Resolved
C0252,"Pipe burst near Park Ave, water flooding the sidewalk",Water,Medium,2026-06-02 09:29:11,,Assigned
C0253,Huge pothole on Elm St causing traffic,Road,Low,2026-03-01 09:29:11,26,Resolved
C0254,Road surface completely destroyed near Elm St,Road,Low,2026-04-23 09:29:11,5,Resolved
C0255,Huge pothole on Cedar Ln causing traffic,Road,Medium,2026-07-10 09:29:11,14,Resolved
C0256,Road surface completely destroyed near Pine St,Road,Low,2026-06-23 09:29:11,,In Progress
C0257,Traffic light broken at Cedar Ln intersection,Road,Medium,2026-06-10 09:29:11,8,Resolved
C0258,Traffic light broken at Pine St intersection,Road,High,2026-02-27 09:29:11,26,Resolved
C0259,Illegal dumping of construction waste near Park Ave,Waste,Low,2026-05-17 09:29:11,18,Resolved
C0260,Illegal dumping of construction waste near Elm St,Waste,Low,2026-05-22 09:29:11,4,Resolved
C0261,Huge pothole on Cedar Ln causing traffic,Road,Low,2026-04-17 09:29:11,17,Resolved
C0262,Loud noise complaint from construction on Elm St,Other,Medium,2026-05-21 09:29:11,,In Progress
C0263,Sewage backing up into street on Maple Dr,Drainage,High,2026-03-11 09:29:11,20,Resolved
C0264,"Pipe burst near Maple Dr, water flooding the sidewalk",Water,High,2026-06-01 09:29:11,,In Progress
C0265,Loud noise complaint from construction on Maple Dr,Other,High,2026-03-02 09:29:11,14,Resolved
C0266,Huge pothole on Elm St causing traffic,Road,Critical,2026-03-20 09:29:11,2,Resolved
C0267,Terrible smell from open drain near Washington Blvd,Drainage,Medium,2026-07-22 09:29:11,15,Resolved
C0268,Blocked storm drain causing flooding at Pine St,Drainage,Low,2026-07-25 09:29:11,9,Resolved
C0269,Terrible smell from open drain near Main St,Drainage,Low,2026-07-26 09:29:11,10,Resolved
C0270,Dirty brown water coming from taps at Main St,Water,High,2026-06-27 09:29:11,30,Resolved
C0271,Foul smell from uncollected trash at Elm St,Waste,Critical,2026-02-14 09:29:11,5,Resolved
C0272,Dangerous leaning tree over walkway on Main St,Safety,Low,2026-05-27 09:29:11,21,Resolved
C0273,Foul smell from uncollected trash at Main St,Waste,Medium,2026-03-03 09:29:11,20,Resolved
C0274,Blocked storm drain causing flooding at Washington Blvd,Drainage,High,2026-02-12 09:29:11,,In Progress
C0275,Road surface completely destroyed near Washington Blvd,Road,Critical,2026-06-16 09:29:11,3,Resolved
C0276,Blocked storm drain causing flooding at Oak Ave,Drainage,Low,2026-06-13 09:29:11,,Open
C0277,Terrible smell from open drain near Oak Ave,Drainage,High,2026-07-08 09:29:11,9,Resolved
C0278,Garbage bins overflowing for days on Washington Blvd,Waste,Low,2026-02-27 09:29:11,7,Resolved
C0279,Huge pothole on Elm St causing traffic,Road,Low,2026-04-25 09:29:11,20,Resolved
C0280,Stray dogs aggressive near Main St,Other,Critical,2026-06-21 09:29:11,3,Resolved
C0281,Street lights not working on Cedar Ln,Electricity,High,2026-04-30 09:29:11,3,Resolved
C0282,No water supply in the building on Main St,Water,High,2026-06-24 09:29:11,,Open
C0283,Stray dogs aggressive near Cedar Ln,Other,Low,2026-03-22 09:29:11,,In Progress
C0284,Traffic light broken at Cedar Ln intersection,Road,Low,2026-06-15 09:29:11,25,Resolved
C0285,Road surface completely destroyed near Elm St,Road,High,2026-04-22 09:29:11,9,Resolved
C0286,No water supply in the building on Oak Ave,Water,Critical,2026-04-19 09:29:11,3,Resolved
